cod_empresa;cnpj_distribuidor;cod_produto;nom_produto;familia;ean;volume;valor;nota_fiscal;dt_venda;ano;mes;tipo_venda;cnpj_cliente;cep_cliente;cidade_cliente;nom_uf;nom_razao;nom_bairro;nom_vendedor
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;6;628;03/01/1970;29/01/2024;2024;1;V;9,00367E+12;11065001;SANTOS;SP;EMPORIO ANIMAL LTDA - ME;VILA BELMIRO;LEONE PUJOL DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;3;271;03/01/1970;30/01/2024;2024;1;O;1,54094E+13;11015030;SANTOS;SP;PETMAR DISTRIBUIDORA DE RAÇÕES EIRELI;MACUCO;CLAUDIO DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;-6;-628;03/01/1970;30/01/2024;2024;1;DV;9,00367E+12;11065001;SANTOS;SP;EMPORIO ANIMAL LTDA - ME;VILA BELMIRO;LEONE PUJOL DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;6;586;03/01/1970;30/01/2024;2024;1;V;9,00367E+12;11065001;SANTOS;SP;EMPORIO ANIMAL LTDA - ME;VILA BELMIRO;LEONE PUJOL DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;1;169;03/01/1970;25/04/2024;2024;4;V;4,99538E+13;11025002;SANTOS;SP;PET SHOP CISNE BRANCO LTDA - ME;APARECIDA;LEONE PUJOL DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;8;1092;03/01/1970;30/04/2024;2024;4;V;1,88638E+13;11055000;SANTOS;SP;P. V. BRITO PET SHOP -EPP;GONZAGA;LEONE PUJOL DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;1;169;03/01/1970;17/05/2024;2024;5;V;2,80255E+13;11045300;SANTOS;SP;PETLAND EMBARE EIRELI - ME;EMBARÉ;AMANDA GODOY DOS SANTOS
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;1;169;03/01/1970;23/05/2024;2024;5;V;4,31901E+13;11704710;PRAIA GRANDE;SP;PETLAND VILA MIRIM LTDA;MIRIM;OTAVIO HENRIQUE GAMA DA CRUZ
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;2;273;03/01/1970;05/06/2024;2024;6;V;9,00367E+12;11065001;SANTOS;SP;EMPORIO ANIMAL LTDA - ME;VILA BELMIRO;LEONE PUJOL DA SILVA
PETMAR;1,54094E+13;5750;Allerderm Spot On S.I.S - 2 mL - 6 Pipetas;CA;7,89752E+12;1;169;03/01/1970;12/06/2024;2024;6;V;3,3678E+13;11440280;GUARUJÁ;SP;MONIQUE CAMARGO ROCHA DA SILVA 35534468890;ENSEADA;AMANDA GODOY DOS SANTOS
